name,type,$kuid,col_name,$autoname,label,$qpath,required,appearance,select_from_list_name,relevant,hint
tensing_abwechslung,select_one,gr2pe41,blog_worte/block_eigenschaften/tensing_abwechslung,tensing_abwechslung,"TEN SING ist auf einer Skala zwischen ""abwechslungsreich"" und ""immer das Gleiche"":",group_aa5ex58-group_ze8px94-tensing_abwechslung,FALSE,likert,bp5fa75,NA,
tensing_gemeinschaft,select_one,NjOiUdW5T,blog_worte/block_eigenschaften/tensing_gemeinschaft,tensing_gemeinschaft,"Bei TEN SING gilt auf einer Skala von ""Alle helfen"" bis ""Jeder macht sein Ding"":",group_aa5ex58-group_ze8px94-tensing_gemeinschaft,FALSE,likert,to1tc02,NA,
tensing_offen_exklusiv,select_one,Bvqdz4fRk,blog_worte/block_eigenschaften/tensing_offen_exklusiv,tensing_offen_exklusiv,"TEN SING ist auf einer Skala zwischen ""Offen für alle"" und ""Exklusiv"":",group_aa5ex58-group_ze8px94-tensing_offen_exklusiv,FALSE,likert,mb0iy64,NA,
tensing_offen_religionen,select_one,GJuOWbBnO,blog_worte/block_eigenschaften/tensing_offen_religionen,tensing_offen_religionen,"TEN SING ist auf einer Skala zwischen ""Offen für alle Religionen"" und ""Nur für Christ:innen"":",group_aa5ex58-group_ze8px94-tensing_offen_religionen,FALSE,likert,jc39z02,NA,
tensing_kreativ_unkreativ,select_one,ubWHKoufi,blog_worte/block_eigenschaften/tensing_kreativ_unkreativ,tensing_kreativ_unkreativ,"TEN SING ist auf einer Skala zwischen ""Kreativ"" und ""Nicht-Kreativ"":",group_aa5ex58-group_ze8px94-tensing_kreativ_unkreativ,FALSE,likert,yj5us17,NA,
tensing_achtenaufandere,select_one,LMGhMcl57,blog_worte/block_eigenschaften/tensing_achtenaufandere,tensing_achtenaufandere,"Bei TEN SING gilt auf einer Skala zwischen ""Man achtet aufeinander"" und ""Jede:r schaut auf sich:""",group_aa5ex58-group_ze8px94-tensing_achtenaufandere,FALSE,likert,ua93t27,NA,
tensing_ausprobieren,select_one,1pkpLTY1F,blog_worte/block_eigenschaften/tensing_ausprobieren,tensing_ausprobieren,"Bei TEN SING gilt auf einer Skala von ""Man kann sich ausprobieren"" bis ""Man macht immer das Gleiche"":",group_aa5ex58-group_ze8px94-tensing_ausprobieren,FALSE,likert,qk9rg27,NA,
NA,end_group,/nCeh6vkDe,NA,NA,NA,NA,NA,NA,NA,NA,
NA,end_group,/cL0QCQ3af,NA,NA,NA,NA,NA,NA,NA,NA,
block_zugangsweg,begin_group,rwTmwmIXs,block_zugangsweg,block_zugangsweg,Dein Weg zu TEN SING,group_jk5eo25,FALSE,NA,NA,NA,
zugangsweg_ten_sing,select_multiple,lu7ag68,block_zugangsweg/zugangsweg_ten_sing,zugangsweg_ten_sing,Wie bist du zu TEN SING gekommen?,group_jk5eo25-zugangsweg_ten_sing,FALSE,NA,tl1ba82,NA,
zugangsweg_tensing_sonst,text,5p73gYBeq,block_zugangsweg/zugangsweg_tensing_sonst,zugangsweg_tensing_sonst,Sonstiges:,group_jk5eo25-zugangsweg_tensing_sonst,FALSE,NA,NA,"selected(${zugangsweg_ten_sing}, 'sonstiges')",
NA,end_group,/rwTmwmIXs,NA,NA,NA,NA,NA,NA,NA,NA,
block_aussagen,begin_group,jrKO6KZnU,block_aussagen,block_aussagen,Nachfolgend findest du einige Aussagen zu TEN SING. Bitte bewerte diese auf der Skala:,group_bc7fc89,FALSE,NA,NA,NA,
aussagen_tensing,begin_group,zLFxRILjh,block_aussagen/aussagen_tensing,aussagen_tensing,,group_bc7fc89-aussagen_tensing,FALSE,field-list,NA,NA,
aussagen_tensing_header,select_one,Nau4PgXwD,block_aussagen/aussagen_tensing/aussagen_tensing_header,aussagen_tensing_header,Bei TEN SING...,group_bc7fc89-aussagen_tensing-aussagen_tensing_header,FALSE,label,ql4ex71,NA,
entfaltung_kreativitae,select_one,J3HW9s6dU,block_aussagen/aussagen_tensing/entfaltung_kreativitae,entfaltung_kreativitae,Bei TEN SING kann ich meine Kreativität voll und ganz entfalten.,group_bc7fc89-aussagen_tensing-entfaltung_kreativitae,FALSE,list-nolabel,ql4ex71,NA,
selbst_sein,select_one,X2Sw1VFei,block_aussagen/aussagen_tensing/selbst_sein,selbst_sein,Bei TEN SING kann ich so sein wie ich möchte.,group_bc7fc89-aussagen_tensing-selbst_sein,FALSE,list-nolabel,ql4ex71,NA,
neues_lernen,select_one,L96PNR2Gv,block_aussagen/aussagen_tensing/neues_lernen,neues_lernen,Bei TEN SING kann ich neue Dinge lernen.,group_bc7fc89-aussagen_tensing-neues_lernen,FALSE,list-nolabel,ql4ex71,NA,
fehlerkultur,select_one,FiGxNTfEE,block_aussagen/aussagen_tensing/fehlerkultur,fehlerkultur,"Wenn mir bei TEN SING mal ein Fehler passiert, ist das überhaupt nicht schlimm.",group_bc7fc89-aussagen_tensing-fehlerkultur,FALSE,list-nolabel,ql4ex71,NA,
ideeneinbringen,select_one,pZnpEbysp,block_aussagen/aussagen_tensing/ideeneinbringen,ideeneinbringen,Ich kann bei TEN SING meine eigenen Ideen einbringen.,group_bc7fc89-aussagen_tensing-ideeneinbringen,FALSE,list-nolabel,ql4ex71,NA,
eigene_entwicklung,select_one,gl7ZVOBsm,block_aussagen/aussagen_tensing/eigene_entwicklung,eigene_entwicklung,"Ich habe das Gefühl, dass ich mich, seitdem ich bei TEN SING bin, weiterentwickelt habe.",group_bc7fc89-aussagen_tensing-eigene_entwicklung,FALSE,list-nolabel,ql4ex71,NA,
gute_entscheidung,select_one,VpFVoUHwN,block_aussagen/aussagen_tensing/gute_entscheidung,gute_entscheidung,Es war eine gute Entscheidung in die TEN SING Gruppe zu gehen.,group_bc7fc89-aussagen_tensing-gute_entscheidung,FALSE,list-nolabel,ql4ex71,NA,
dinge_zutrauen,select_one,sXbtrGPpW,block_aussagen/aussagen_tensing/dinge_zutrauen,dinge_zutrauen,"Ich traue mir bei TEN SING Sachen zu, die ich mich davor nicht getraut habe.",group_bc7fc89-aussagen_tensing-dinge_zutrauen,FALSE,list-nolabel,ql4ex71,NA,
selbstbewusstsein,select_one,ccrSUyxSe,block_aussagen/aussagen_tensing/selbstbewusstsein,selbstbewusstsein,"Ich merke, dass ich selbstbewusster bin, seitdem ich bei TEN SING bin.",group_bc7fc89-aussagen_tensing-selbstbewusstsein,FALSE,list-nolabel,ql4ex71,NA,
transfer,select_one,ASmMSMNAY,block_aussagen/aussagen_tensing/transfer,transfer,"Dinge, die ich bei TEN SING gelernt habe, kann ich auch woanders einsetzten (z. B. Schule, in der Arbeit).",group_bc7fc89-aussagen_tensing-transfer,FALSE,list-nolabel,ql4ex71,NA,
internationale_projekt,select_one,f2n1NL0Wp,block_aussagen/aussagen_tensing/internationale_projekt,internationale_projekt,Ich habe Interesse an internationalen TEN SING Projekten.,group_bc7fc89-aussagen_tensing-internationale_projekt,FALSE,list-nolabel,ql4ex71,NA,
glaube_spiritualitaet,select_one,xEZbBloC9,block_aussagen/aussagen_tensing/glaube_spiritualitaet,glaube_spiritualitaet,Bei TEN SING setzte ich mich mit meinem Glauben / Spiritualität auseinander.,group_bc7fc89-aussagen_tensing-glaube_spiritualitaet,FALSE,list-nolabel,ql4ex71,NA,
NA,end_group,/zLFxRILjh,NA,NA,NA,NA,NA,NA,NA,NA,
NA,end_group,/jrKO6KZnU,NA,NA,NA,NA,NA,NA,NA,NA,
block_engagement_vor_ort,begin_group,9m2v7bpoi,block_engagement_vor_ort,block_engagement_vor_ort,Angebote vor Ort,group_er4yl50,FALSE,NA,NA,NA,
angebote_vor_ort,select_multiple,ODbMLK2Hm,block_engagement_vor_ort/angebote_vor_ort,angebote_vor_ort,An welchen Angeboten/Workshops nimmst du vor Ort teil?,group_er4yl50-angebote_vor_ort,FALSE,NA,vj9by53,NA,
andere_angebote_vor_ort,text,al7fd91,block_engagement_vor_ort/andere_angebote_vor_ort,andere_angebote_vor_ort,Welche anderen Workshops?,group_er4yl50-andere_angebote_vor_ort,FALSE,NA,NA,"selected(${angebote_vor_ort}, 'andere_workshops')",
stunden_pro_woche,decimal,64RobWtUT,block_engagement_vor_ort/stunden_pro_woche,stunden_pro_woche,Wie viel Stunden in der Woche verbringst du ungefähr mit TEN SING?,group_er4yl50-stunden_pro_woche,FALSE,NA,NA,NA,
ortsgruppe_region,select_one,W0SpxHj2w,block_engagement_vor_ort/ortsgruppe_region,ortsgruppe_region,In welcher Region liegt deine Ortsgruppe?,group_er4yl50-ortsgruppe_region,FALSE,NA,ta2jv23,NA,
ortsgruppe_name,text,50LbVMB9p,block_engagement_vor_ort/ortsgruppe_name,ortsgruppe_name,Wie heißt deine Ortsgruppe?,group_er4yl50-ortsgruppe_name,FALSE,NA,NA,NA,
NA,end_group,/9m2v7bpoi,NA,NA,NA,NA,NA,NA,NA,NA,
block_ortsuebergreifend,begin_group,Ur0WEH2RA,block_ortsuebergreifend,block_ortsuebergreifend,Ortsübergreifende Angebote,group_ll9fx75,FALSE,NA,NA,NA,
tn_seminar_veranst_region,select_one,Hzw613GLj,block_ortsuebergreifend/tn_seminar_veranst_region,tn_seminar_veranst_region,"Warst du schon mal auf einem ortsgruppenübergreifenden Seminar oder einer Veranstaltung von TEN SING, die in deiner Region stattfand?",group_ll9fx75-tn_seminar_veranst_region,FALSE,NA,jx7zb70,NA,
tn_seminar_veranst_deut_weit,select_one,zn9cekLLq,block_ortsuebergreifend/tn_seminar_veranst_deut_weit,tn_seminar_veranst_deut_weit,"Warst du schon mal auf einem Seminar oder einer Veranstaltung das deutschlandweit stattfand (z. B. TEN SING plus, HOME, DEKT)?",group_ll9fx75-tn_seminar_veranst_deut_weit,FALSE,NA,xd4nd49,NA,
gruende_gegen_deut_weit,select_multiple,WDrcAPYLY,block_ortsuebergreifend/gruende_gegen_deut_weit,gruende_gegen_deut_weit,"Wenn du dich gegen eine deutschlandweite Veranstaltung oder Projekt bzw. gegen eine Veranstaltung oder Projekt in deiner Region entschieden hast, was waren dann die Gründe dafür?",group_ll9fx75-gruende_gegen_deut_weit,FALSE,NA,id5sa70,NA,
gruende_gegen_deut_weit_andere,text,zZNzOfpok,block_ortsuebergreifend/gruende_gegen_deut_weit_andere,gruende_gegen_deut_weit_andere,Andere Gründe:,group_ll9fx75-gruende_gegen_deut_weit_andere,FALSE,NA,NA,"selected(${gruende_gegen_deut_weit}, 'andere_gr_nde')",
NA,end_group,/Ur0WEH2RA,NA,NA,NA,NA,NA,NA,NA,NA,
block_deine_tensing_gruppe,begin_group,nD2y9tKTW,block_deine_tensing_gruppe,block_deine_tensing_gruppe,Du und deine TEN SING Gruppe,group_nq5sm12,FALSE,NA,NA,NA,
verantwortungsuebernahme,select_one,Qv5zLUTS3,block_deine_tensing_gruppe/verantwortungsuebernahme,verantwortungsuebernahme,Übernimmst du in deiner Ten Sing Gruppe vor Ort Verantwortung?,group_nq5sm12-verantwortungsuebernahme,FALSE,NA,ux2fo08,NA,
hilfe_fuer_verantwortung,select_multiple,qs8my73,block_deine_tensing_gruppe/hilfe_fuer_verantwortung,hilfe_fuer_verantwortung,Was hilft dir bzw. was würde dir helfen Verantwortung zu übernehmen?,group_nq5sm12-hilfe_fuer_verantwortung,FALSE,NA,gx1xm18,NA,
hilfe_fuer_verantwortung_sonst,text,zt7ga79,block_deine_tensing_gruppe/hilfe_fuer_verantwortung_sonst,hilfe_fuer_verantwortung_sonst,Sonstiges:,group_nq5sm12-Sonstiges,FALSE,NA,NA,"selected(${hilfe_fuer_verantwortung}, 'sonstiges')",
informationswege_derzeit,select_multiple,n4cWcdzXa,block_deine_tensing_gruppe/informationswege_derzeit,informationswege_derzeit,Wie erhältst du Informationen von deiner TEN SING Gruppe?,group_nq5sm12-informationswege_derzeit,FALSE,NA,ix2yn66,NA,
informationen_komplett,select_one,P6H2wmdJU,block_deine_tensing_gruppe/informationen_komplett,informationen_komplett,"Hast du den Eindruck, dass du alle wichtigen Informationen erhältst?",group_nq5sm12-informationen_komplett,FALSE,NA,sk3kk53,NA,
informationswege_aenderung,select_one,zx8cj11,block_deine_tensing_gruppe/informationswege_aenderung,informationswege_aenderung,Wenn du es dir aussuchen könntest: Auf welchem Weg möchtest du am liebsten Informationen von TEN SING erhalten?,group_nq5sm12-Wenn_du_es_dir_aussuchen_k_nnt,FALSE,NA,ig3ep62,NA,
informationswege_wunsch,select_multiple,wjqlGvtt2,block_deine_tensing_gruppe/informationswege_wunsch,informationswege_wunsch,Wenn du es dir aussuchen könntest: Auf welchem Weg möchtest du am liebsten Informationen von TEN SING erhalten?,group_nq5sm12-informationswege_wunsch,FALSE,NA,qt4dn74,${informationswege_aenderung} = 'anders',
wahrscheinlichkeit_weiterempfe,select_one,3z88R5GMD,block_deine_tensing_gruppe/wahrscheinlichkeit_weiterempfe,wahrscheinlichkeit_weiterempfe,"Wie wahrscheinlich ist es, dass du deinen Freund:innen oder Bekannten empfiehlst, auch mit in deine TEN SING Gruppe zu kommen?",group_nq5sm12-wahrscheinlichkeit_weiterempfe,FALSE,likert,mh7yx74,NA,
NA,end_group,/nD2y9tKTW,NA,NA,NA,NA,NA,NA,NA,NA,
block_demografie,begin_group,KzcWWkC2g,block_demografie,block_demografie,Am Ende würden wir gerne noch etwas zu deiner Person wissen:,demografie,FALSE,NA,NA,NA,
gender,select_one,rf8xt05,block_demografie/gender,gender,Dein Geschlecht:,demografie-Dein_Geschlecht,FALSE,NA,nl6qm12,NA,
alter,integer,M61GhIJIY,block_demografie/alter,alter,Dein Alter:,demografie-Dein_Alter,FALSE,NA,NA,NA,
schultyp,select_one,OjjUMWMSC,block_demografie/schultyp,schultyp,Auf welche Schule gehst du?,demografie-Auf_welche_Schule_gehst_du,FALSE,NA,qr8jz24,NA,
kontakt_christ_glauben,select_multiple,8nkEAtgq7,block_demografie/kontakt_christ_glauben,kontakt_christ_glauben,Hast du außerhalb von TEN SING Kontakt zum christlichen Glauben?,demografie-Hast_du_au_erhalb_von_TEN_SING,FALSE,NA,vh8ly81,NA,
kontakt_christ_glauben_sonst,text,zNZ249eEp,block_demografie/kontakt_christ_glauben_sonst,kontakt_christ_glauben_sonst,andere Kontaktpunkte,demografie-andere_Kontaktpunkte,FALSE,NA,NA,"selected(${kontakt_christ_glauben}, 'ja_andere')",
NA,end_group,/KzcWWkC2g,NA,NA,NA,NA,NA,NA,NA,NA,
